Unnamed: 0,country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
7976,Japan,p2,Annual,Offline,N,Low,N,N,4,7.000600741063277,27.79990996641441,86.05097308164187,81.32967540957742,2019Q2
870,India,p1,Monthly,Digital,Y,Medium,N,N,3,5.0,11.49,64.63057842092185,62.23,2020Q1
4295,Japan,p2,Bi-annual,Digital,N,High,N,N,0,6.0,25.62,87.98337139506256,90.06,2020Q3
1514,India,p1,Annual,Digital,N,Low,Y,N,5,3.0,5.6306,68.07868241469112,65.9638,2020Q1
8545,USA,p1,Annual,Offline,Y,Medium,N,N,4,4.013542545847184,25.94831339156236,78.33624745037828,71.5276233427814,2019Q2
4731,India,p2,Annual,Digital,Y,Low,Y,N,2,5.0,6.427000000000001,78.33131858011365,76.44415000000001,2020Q3
8029,Japan,p2,Annual,Offline,Y,Low,N,Y,5,6.953786212553262,36.304763957401946,91.23618664235156,93.570948075007,2019Q3
1931,Japan,p2,Monthly,Offline,Y,Low,N,Y,5,6.0,48.31,89.92590199291465,89.68,2020Q2
1443,India,p2,Annual,Offline,N,High,Y,N,3,5.0,13.9407,73.09549559763065,76.0235,2020Q1
1015,Japan,p2,Bi-annual,Digital,N,High,N,N,5,7.0,26.99,91.96114729605878,93.1,2020Q1
1350,India,p1,Monthly,Offline,N,Medium,Y,N,3,2.0,6.5007,68.1164661082,69.73190000000001,2020Q1
4828,USA,p1,Monthly,Digital,Y,Medium,N,Y,3,6.0,67.21,68.96165857125713,69.28,2019Q4
2618,Japan,p1,Annual,Digital,Y,High,N,N,3,4.0,22.14,81.35913752680725,85.13,2020Q2
2268,USA,p1,Monthly,Offline,N,High,Y,Y,2,3.0,28.0705,73.1643129775848,74.44500000000001,2020Q2
8475,USA,p1,Annual,Offline,N,Low,N,N,3,6.002842025025265,26.668646571365706,82.44573999146249,84.89742447181138,2018Q4
1091,Japan,p2,Annual,Digital,Y,High,N,N,2,6.0,41.99,88.36126464420033,89.67,2020Q1
3585,Japan,p2,Monthly,Digital,Y,Low,N,Y,3,6.0,52.02,82.52182740672738,81.72,2020Q3
8581,USA,p1,Monthly,Digital,N,Low,N,N,2,4.0148955121596215,70.4271431852106,70.8701098977675,71.84664885191059,2019Q2
831,Japan,p2,Monthly,Offline,N,Medium,N,N,4,4.0,35.99,82.4637585217099,85.75,2020Q1
8442,USA,p1,Annual,Digital,Y,Medium,Y,N,4,5.010884425605841,8.97904485757202,78.29748443531052,71.27238501191445,2018Q4
4567,India,p2,Monthly,Offline,Y,High,Y,N,5,3.0,14.780499999999998,77.80930253744503,74.2205,2020Q3
2139,India,p2,Annual,Offline,N,Medium,Y,Y,2,4.0,12.6807,77.58707939930036,78.30000000000001,2020Q2
8987,USA,p2,Annual,Digital,Y,Low,N,Y,2,3.9991920894955424,88.73414274714814,81.45356253972992,81.58751968276921,2019Q1
2602,India,p1,Annual,Offline,Y,High,N,N,4,5.0,8.83,72.22626796963151,71.71,2020Q2
1898,USA,p1,Monthly,Offline,N,High,N,Y,2,6.0,31.99,66.72473592245765,68.5,2020Q2
5194,India,p1,Monthly,Digital,N,Low,N,Y,4,3.0,7.090000000000002,69.19574890811614,62.4,2019Q4
1384,USA,p1,Annual,Digital,N,Medium,Y,N,1,5.0,23.4906,77.54313133694357,74.27420000000001,2020Q1
6923,India,p1,Monthly,Offline,Y,Medium,N,Y,3,3.998376735962827,58.924506230210106,63.885839529786885,64.429097738375,2019Q3
20,USA,p1,Monthly,Digital,Y,Medium,N,Y,4,3.0,65.99,76.86604965197452,71.0,2020Q1
1266,Japan,p1,Bi-annual,Digital,Y,Low,N,N,1,5.0,20.99,86.47986770039033,87.71,2020Q1
1134,USA,p1,Monthly,Offline,Y,Low,N,N,5,3.0,65.99,71.93195743692286,71.05,2020Q1
9289,USA,p2,Monthly,Digital,Y,Low,Y,N,1,4.00841959020893,53.05708043525912,75.04662142229567,70.52419686911341,2019Q2
4704,USA,p1,Annual,Offline,N,Low,Y,N,3,5.0,23.5005,85.86173062000614,77.41499999999999,2020Q3
1335,India,p2,Monthly,Offline,Y,Medium,Y,N,3,5.0,11.691,78.158875539925,78.694,2020Q1
7612,Japan,p1,Bi-annual,Digital,Y,Medium,N,N,1,5.019978219034628,23.86270268126769,83.76923411984838,89.96250873880092,2019Q1
3897,USA,p2,Annual,Offline,Y,Low,Y,Y,3,4.0,85.8706,84.46495083778612,83.255,2020Q3
1564,USA,p1,Monthly,Digital,Y,Low,Y,N,2,3.0,62.03059999999999,75.32039629390623,71.6772,2020Q1
9071,USA,p2,Annual,Offline,N,Low,N,Y,2,5.498322358733891,26.156868462494582,85.21915990039001,79.6918502514242,2019Q2
1922,India,p1,Annual,Offline,Y,Low,N,Y,5,5.0,9.28,72.44332638778268,71.71,2020Q2
2099,India,p2,Annual,Digital,Y,Medium,Y,Y,5,6.0,9.137,79.283560288888,77.11,2020Q2
5663,USA,p2,Monthly,Offline,Y,Medium,N,N,3,3.0,108.48,77.94457288239742,73.49999999999999,2019Q4
1289,USA,p2,Monthly,Digital,N,Low,N,N,1,5.0,47.99,65.9598599806841,70.56,2020Q1
6711,India,p1,Monthly,Digital,Y,High,Y,N,5,4.000000903380596,16.63822702667425,74.57406476417945,71.57774788323954,2019Q1
8114,Japan,p2,Bi-annual,Digital,Y,Medium,N,Y,2,4.98891223024917,26.371687101084376,92.15964073169997,87.73836673479619,2018Q4
2668,Japan,p1,Bi-annual,Offline,Y,High,N,N,1,7.0,22.49,85.19086071485856,85.72,2020Q2
2316,USA,p1,Monthly,Offline,Y,Low,Y,Y,5,3.0,61.5606,79.72213166816155,76.26,2020Q2
7953,Japan,p2,Annual,Offline,N,High,N,N,3,7.073509095532088,9.695434570665896,80.97018592377603,87.83630596503438,2019Q3
2253,USA,p2,Monthly,Offline,Y,High,Y,Y,2,5.0,102.9006,82.7232310360381,79.17,2020Q2
7655,Japan,p1,Bi-annual,Offline,N,Low,N,Y,1,7.076877815336435,16.17868454917152,79.73248592184089,87.53186360064801,2019Q3
5951,USA,p2,Annual,Digital,Y,Low,N,N,3,4.0,92.28,76.78329938601158,74.15,2019Q4
8714,USA,p1,Monthly,Offline,N,High,Y,N,4,3.993509229602066,49.41339968882326,82.67337572874362,76.35607788163385,2019Q1
1750,Japan,p1,Bi-annual,Digital,N,Medium,N,Y,0,6.0,14.92,85.02895328129067,86.07,2020Q2
3826,India,p1,Annual,Digital,N,High,Y,Y,3,4.0,5.5,71.71834283007703,69.815,2020Q3
8984,USA,p2,Annual,Digital,Y,Low,N,Y,1,6.004911936109838,101.88155058686978,83.50829587775317,81.76005539128337,2019Q1
7104,India,p2,Annual,Offline,N,Low,N,N,5,3.999090015710726,10.67556669581591,65.6592333279969,68.05035354132521,2019Q3
2879,Japan,p2,Bi-annual,Digital,N,Low,N,N,1,6.0,26.9,82.7275422929338,86.82000000000001,2020Q2
5302,India,p1,Monthly,Digital,Y,Medium,Y,Y,4,5.0,8.1555,71.17182755178754,69.435,2019Q4
8203,Japan,p2,Monthly,Digital,N,High,Y,Y,3,5.010749830270204,43.81849401321404,84.90906963466473,86.05929815179151,2019Q3
8902,USA,p2,Annual,Digital,N,Low,N,Y,1,4.016737414884336,50.49594860974775,79.33211144018084,75.93293468116856,2019Q1
5616,India,p1,Annual,Digital,Y,Medium,N,N,3,3.0,10.29,62.830087587203536,61.92,2019Q4
1106,USA,p1,Monthly,Offline,N,High,N,N,2,4.0,29.99,72.7601558091211,69.09,2020Q1
1670,India,p1,Annual,Offline,N,Medium,N,Y,4,3.0,7.41,68.84990924134671,67.58,2020Q2
2074,USA,p1,Annual,Digital,N,Low,N,Y,1,4.0,25.07,74.62020679559456,70.92,2020Q2
7784,Japan,p1,Monthly,Offline,N,High,N,N,3,2.999482036662814,15.795006618226568,73.71352207061945,76.65247530682167,2019Q3
9431,USA,p2,Monthly,Offline,Y,Low,Y,Y,5,5.006676711308212,38.938147143693925,86.66167194884116,75.76937701402863,2018Q4
2348,USA,p1,Monthly,Offline,Y,Low,Y,Y,1,6.0,61.91049999999999,75.77085540208006,75.855,2020Q2
4101,USA,p2,Annual,Offline,N,Medium,N,N,1,4.0,42.56,75.78220656244976,75.83000000000001,2020Q3
6299,India,p2,Annual,Digital,N,Low,Y,N,3,4.0,11.0307,78.14035535399061,74.2148,2019Q4
7630,Japan,p1,Bi-annual,Offline,N,High,N,N,1,7.443596274759829,43.41424173893684,87.80729461031851,87.38590295388394,2019Q3
7608,Japan,p1,Bi-annual,Digital,Y,Low,N,Y,4,6.945769286352516,44.51980092065278,93.58003901393592,92.99047136500629,2019Q1
7870,Japan,p2,Annual,Digital,N,High,N,Y,1,6.002715911231533,9.803878855917048,83.19593620892509,75.83578856410607,2019Q1
5452,USA,p1,Monthly,Offline,Y,Low,Y,Y,4,5.0,60.57049999999999,78.4356757543103,78.24499999999999,2019Q4
3521,India,p2,Annual,Digital,Y,Low,N,Y,4,3.0,12.32,66.77784790251238,68.58,2020Q3
4990,USA,p1,Annual,Digital,Y,High,N,Y,2,5.0,54.010000000000005,77.86098143285452,77.48,2019Q4
8353,USA,p1,Annual,Digital,N,High,N,N,3,4.002059347105602,28.946450380574262,63.34987048468321,65.82339737125366,2018Q4
6065,USA,p2,Annual,Offline,N,Medium,Y,N,5,6.0,34.5907,86.35036661573416,87.01230000000001,2019Q4
7878,Japan,p2,Annual,Digital,N,High,N,Y,5,4.985195569615479,37.072944405837575,92.57806619453068,82.08518213988226,2019Q3
2616,India,p1,Annual,Digital,Y,High,N,N,3,5.0,10.54,65.20250969599157,64.61,2020Q2
5146,India,p1,Annual,Offline,Y,Low,N,Y,4,4.0,10.92,71.95011034425988,69.57,2019Q4
499,India,p2,Monthly,Digital,N,Low,N,Y,1,4.0,17.99,63.90030112902252,65.5,2020Q1
2979,India,p2,Annual,Offline,Y,High,Y,N,5,6.0,10.94,81.83770220265863,80.43700000000001,2020Q2
141,USA,p2,Annual,Offline,N,Medium,N,Y,1,5.0,39.99,84.05469902309673,80.0,2020Q1
4484,USA,p1,Monthly,Offline,N,Medium,Y,N,5,5.0,27.3405,74.81809043286023,74.72350000000002,2020Q3
989,USA,p2,Annual,Offline,N,High,N,N,5,6.0,39.99,81.05085883128794,80.85,2020Q1
6375,India,p1,Annual,Digital,N,Low,Y,N,2,3.9974638417854114,9.250435659002743,59.86531271440883,63.0546182659891,2019Q1
7561,Japan,p1,Bi-annual,Digital,N,Low,N,N,1,5.494936355259349,24.3556789394706,86.14048292016982,88.95383795443493,2019Q1
7008,India,p2,Annual,Digital,N,Medium,N,Y,2,4.006493227668044,8.89779957208071,74.04454086833744,78.89792470032596,2019Q2
2016,Japan,p1,Bi-annual,Offline,N,Low,N,Y,3,5.0,11.3,86.45546583044244,87.19,2020Q2
6165,USA,p2,Monthly,Offline,N,High,Y,N,5,3.0,46.2807,76.9538143438151,81.18940000000002,2019Q4
2951,India,p2,Monthly,Offline,Y,Medium,Y,N,3,3.0,14.5507,71.20791304900573,73.02920000000002,2020Q2
1126,Japan,p1,Bi-annual,Digital,N,High,N,N,1,4.0,13.49,87.68446095191001,87.71,2020Q1
1588,Japan,p1,Annual,Offline,Y,Medium,N,Y,5,7.0,22.25,91.79982698829085,88.74,2020Q2
4188,Japan,p1,Annual,Offline,Y,High,N,N,3,6.0,20.93,87.50053331404203,89.77,2020Q3
1457,USA,p2,Annual,Offline,Y,High,Y,N,1,4.0,83.69069999999999,84.66431125923708,83.88799999999999,2020Q1
6806,India,p1,Monthly,Offline,N,High,Y,N,3,4.019850724196364,8.016074296219697,76.03971456096212,72.57199598680327,2019Q1
4473,USA,p2,Annual,Digital,Y,Medium,Y,N,5,4.0,83.851,82.85179389165316,83.38,2020Q3
1334,India,p1,Monthly,Offline,Y,Medium,Y,N,3,6.0,10.8006,74.04992873158724,72.1966,2020Q1
1143,USA,p2,Annual,Digital,Y,Low,N,N,4,5.0,89.99,78.63085961578952,77.665,2020Q1
9057,USA,p2,Annual,Offline,N,High,Y,Y,5,5.017023920094876,41.48280446549761,80.11745061361175,84.98068181933418,2018Q4
5653,Japan,p2,Monthly,Digital,N,Medium,N,N,3,5.0,36.27,86.54766723347012,82.53,2019Q4
788,USA,p1,Monthly,Digital,N,Low,Y,Y,1,4.0,27.890699999999995,71.61812873779068,70.085,2020Q1
