country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
USA,p1,Monthly,Digital,Y,Medium,Y,N,4,4.0,60.5106,78.29727749,75.2748,2020Q3
India,p2,Annual,Offline,N,Low,N,N,5,3.999090016,10.6755667,65.65923333,68.05035354,2019Q3
USA,p2,Annual,Digital,Y,Low,Y,Y,5,6.0,85.9505,80.64965155,81.44,2020Q3
India,p1,Monthly,Offline,Y,Low,N,N,5,2.0,9.32,73.57202385,70.28,2020Q3
USA,p2,Annual,Digital,N,High,Y,Y,5,4.0,37.1907,84.4316503,86.67,2020Q1
India,p1,Annual,Offline,N,Low,N,Y,3,4.0,5.59,71.0752237,68.9,2020Q2
India,p1,Annual,Offline,N,Medium,Y,Y,5,4.998569867,12.99883348,83.52931534,77.81900875,2019Q2
USA,p2,Monthly,Digital,Y,Medium,Y,Y,4,5.0,98.2105,85.1926657,85.23,2019Q4
USA,p1,Monthly,Offline,N,Low,N,Y,5,5.0,29.99,72.67144418,71.0,2020Q1
USA,p1,Monthly,Offline,Y,Low,N,N,1,3.0,65.99,71.90880839,70.07,2020Q1
India,p2,Annual,Offline,Y,Medium,N,N,5,5.0,8.08,68.52244969,76.3,2019Q4
India,p1,Monthly,Offline,N,Low,N,N,1,3.018212072,10.87662756,62.46946105,66.18990835,2019Q3
USA,p2,Monthly,Offline,Y,Low,N,N,3,5.9916654,86.81386949,83.88962595,85.31682726,2019Q3
India,p1,Annual,Offline,Y,Low,Y,N,1,5.0,8.9206,73.84100061,73.2354,2020Q1
Japan,p2,Annual,Digital,N,High,N,N,5,5.0,29.83,91.31616115,88.36,2019Q4
India,p2,Annual,Digital,N,Medium,Y,N,4,4.999152631,7.203182107,77.58341096,73.66925939,2019Q1
India,p2,Annual,Offline,N,Low,Y,N,4,5.0,11.9007,79.77507375,78.0635,2020Q2
Japan,p2,Annual,Digital,N,Medium,N,Y,2,6.980968789,39.95989375,87.39110145,90.97487396,2019Q1
India,p2,Annual,Digital,Y,Low,N,Y,3,4.0,8.42,74.77450383,72.48,2020Q2
India,p1,Annual,Digital,Y,Medium,N,Y,1,3.0,9.49,64.39015156,61.0,2020Q1
Japan,p2,Monthly,Digital,N,Low,N,Y,1,4.0,35.99,88.57018888,83.25,2020Q1
USA,p1,Annual,Offline,N,Medium,Y,N,3,3.0,23.7405,75.46411352,76.6605,2020Q1
Japan,p2,Annual,Digital,Y,Medium,N,N,5,5.00548326,41.1671319,90.47470569,88.0306094,2019Q2
India,p2,Monthly,Digital,N,High,Y,N,5,4.0,14.9107,70.86497213,73.1248,2020Q2
Japan,p1,Monthly,Offline,Y,Low,N,N,1,3.993997011,13.66535695,82.51140271,83.02981923,2019Q2
USA,p2,Monthly,Digital,N,Medium,Y,N,1,4.003704803,45.88168425,70.29252312,78.71429278,2019Q2
India,p1,Annual,Offline,N,Medium,N,Y,1,4.010038393,18.71609985,77.89268607,71.06646582,2019Q2
Japan,p1,Monthly,Offline,Y,High,N,N,2,6.0,27.99,81.28594728,82.32,2020Q1
USA,p1,Annual,Digital,Y,High,N,Y,2,7.0,57.26,79.10233697,73.73,2020Q3
India,p1,Annual,Digital,N,Medium,N,N,5,4.0,5.5,68.49237309,64.44,2020Q2
India,p1,Annual,Offline,N,Low,N,Y,4,3.496859888,4.861440391,71.22732178,69.73599053,2019Q1
Japan,p2,Bi-annual,Digital,Y,Medium,N,N,5,6.994452174,51.45927776,90.66362853,88.74184644,2018Q4
Japan,p2,Bi-annual,Digital,Y,Low,N,Y,1,6.0,36.28,94.76399925,95.71,2020Q2
India,p1,Annual,Digital,N,High,Y,N,2,3.0,5.5,75.13805821,69.8547,2020Q2
India,p1,Monthly,Offline,Y,High,Y,Y,5,6.0,11.8457,70.3134734,74.275,2020Q2
India,p1,Annual,Offline,Y,Medium,Y,N,3,5.0,8.9255,75.79698788,73.149,2020Q3
Japan,p1,Bi-annual,Digital,N,Medium,N,Y,3,4.0,14.73,84.3870851,86.26,2020Q2
USA,p2,Annual,Offline,Y,Medium,N,Y,2,7.0,90.82,75.546275,78.67,2020Q2
Japan,p1,Annual,Offline,Y,Medium,N,N,3,7.0,20.5,85.08695715,87.26,2020Q2
India,p2,Monthly,Offline,Y,High,Y,N,1,3.0,12.0807,74.84019334,76.5478,2020Q1
India,p2,Monthly,Digital,Y,Medium,N,N,3,3.0,13.83,67.70993783,67.76,2020Q2
USA,p1,Monthly,Digital,Y,High,N,N,1,3.028937966,63.51134047,66.60422294,61.59710121,2019Q2
Japan,p1,Bi-annual,Offline,N,Medium,N,Y,5,5.993537703,25.07904103,84.64281927,83.22152228,2019Q3
India,p1,Monthly,Digital,N,Medium,Y,Y,3,3.0,6.5706,63.08090026,66.78,2020Q1
India,p2,Annual,Digital,Y,High,N,Y,2,4.0,10.77,73.51983145,72.13,2020Q3
Japan,p1,Annual,Digital,N,High,N,Y,4,6.0,14.99,83.15747572,84.5,2020Q1
India,p2,Annual,Digital,N,High,Y,N,1,4.0,13.9407,73.92427069,73.9263,2020Q1
India,p1,Monthly,Offline,N,Medium,Y,Y,3,3.0,5.64,70.12039727,73.225,2019Q4
USA,p2,Monthly,Offline,N,Medium,Y,N,4,4.011487665,52.09963166,80.38943461,82.06403831,2019Q2
USA,p1,Annual,Digital,Y,High,Y,N,4,3.0,51.1407,77.83381533,80.7422,2020Q1
USA,p2,Annual,Digital,Y,Medium,Y,Y,4,5.0,83.6907,81.78114587,84.53,2020Q1
Japan,p2,Bi-annual,Offline,Y,Medium,N,N,3,7.0,37.99,84.89085067,90.65,2020Q1
USA,p1,Monthly,Offline,N,Medium,N,Y,3,4.0,30.35,71.21082756,69.64,2020Q2
India,p1,Annual,Digital,N,Low,N,N,5,4.0,7.36,62.0583566,60.86,2020Q3
Japan,p2,Monthly,Offline,Y,Low,N,Y,5,6.0,49.99,82.95351349,88.0,2020Q1
USA,p1,Monthly,Offline,N,High,Y,N,1,5.0,28.4905,73.56089541,72.5445,2020Q1
India,p1,Monthly,Digital,Y,Low,Y,Y,3,3.999795864,13.23431404,74.04378628,72.49996272,2018Q4
India,p1,Annual,Digital,Y,Low,N,Y,2,4.0,10.4,63.27760995,62.59,2020Q3
USA,p1,Annual,Digital,Y,Medium,N,N,3,6.0,57.28,73.13018607,71.7,2020Q3
USA,p2,Annual,Offline,Y,Low,N,N,5,7.0,88.25,82.76418239,81.12,2019Q4
India,p2,Monthly,Digital,N,Medium,Y,Y,4,6.014087361,11.50932279,68.95035208,69.60626194,2019Q3
USA,p1,Monthly,Offline,N,Medium,N,N,4,4.003186625,6.481155325,77.99879582,76.36981673,2019Q1
USA,p2,Monthly,Offline,Y,High,N,N,2,5.0,107.99,78.03277601,74.48,2020Q1
India,p2,Annual,Offline,N,Medium,Y,Y,3,4.0,14.8707,77.03629558,76.11,2020Q3
India,p1,Monthly,Digital,N,Medium,N,Y,5,3.0,8.63,66.42577317,61.36,2019Q4
USA,p2,Annual,Offline,N,High,N,N,0,4.0,41.68,72.67513278,77.2,2019Q4
India,p1,Annual,Offline,Y,Medium,Y,N,4,4.0,8.7357,79.81984219,75.0649,2020Q3
Japan,p2,Annual,Offline,N,Low,N,Y,5,7.038318348,6.072129838,79.92196409,92.78229733,2019Q2
USA,p1,Annual,Offline,N,Low,Y,N,0,5.0,23.6906,76.90969133,76.6712,2020Q3
India,p2,Annual,Offline,N,Low,Y,Y,5,5.0,13.9407,81.40014589,77.575,2020Q1
USA,p1,Monthly,Digital,Y,Medium,Y,Y,5,4.0,62.0306,77.67908351,75.26,2020Q1
India,p1,Annual,Digital,N,Low,Y,Y,4,2.085089551,22.51594747,71.20712147,74.80990973,2018Q4
Japan,p1,Annual,Offline,N,High,N,N,5,4.0,12.15,84.82482787,87.12,2020Q3
USA,p2,Monthly,Offline,N,High,Y,Y,5,6.0,43.3307,82.73202266,85.83,2020Q2
Japan,p1,Annual,Digital,N,Low,N,Y,2,3.010179435,15.58238367,65.56152125,75.63546656,2018Q4
India,p1,Annual,Digital,Y,Medium,N,Y,1,4.0,11.01,59.30913274,59.48,2019Q4
India,p1,Monthly,Digital,Y,Medium,N,N,3,5.0,11.49,64.63057842,62.23,2020Q1
Japan,p2,Monthly,Offline,Y,High,N,Y,2,6.0,49.99,89.01516647,92.0,2020Q1
India,p1,Monthly,Digital,N,Medium,Y,N,5,4.0,5.5,68.13702961,67.277,2019Q4
Japan,p2,Annual,Offline,Y,Low,N,N,4,5.974492784,106.2816197,90.50928773,88.08617324,2019Q1
Japan,p2,Annual,Offline,N,High,N,N,5,7.08337032,39.35929568,85.15530959,89.32562192,2018Q4
USA,p2,Monthly,Offline,Y,Low,N,Y,1,6.00643938,64.34419009,79.4399369,70.88286502,2018Q4
Japan,p2,Bi-annual,Digital,N,Medium,N,N,1,7.0,25.94,90.2460628,88.76,2020Q3
Japan,p2,Annual,Offline,N,High,N,Y,2,6.994850112,18.45145802,81.87050578,82.09889115,2019Q1
Japan,p2,Monthly,Digital,Y,Low,N,Y,5,5.0,47.69,86.31972633,87.3,2020Q3
USA,p2,Monthly,Offline,Y,High,N,Y,5,5.993448545,97.50122446,87.55485735,92.38208933,2019Q1
Japan,p1,Bi-annual,Offline,N,High,N,N,2,5.0,12.72,87.8649362,87.5,2019Q4
USA,p2,Annual,Digital,N,Low,Y,Y,3,4.50226655,45.46673906,81.75512147,81.18183491,2019Q1
India,p1,Annual,Offline,N,High,N,N,5,6.0038927,6.194822425,66.42421389,63.08841612,2019Q3
USA,p1,Monthly,Offline,Y,Low,Y,N,2,2.991094191,64.77626164,68.42921648,70.7237507,2018Q4
India,p1,Annual,Digital,N,High,N,N,3,4.0,6.94,66.81620979,62.26,2020Q3
India,p2,Annual,Offline,N,Medium,Y,Y,1,5.978143112,40.72530533,78.39990542,76.49643758,2019Q1
USA,p2,Annual,Digital,N,Medium,Y,N,3,3.0,38.5307,81.86147141,79.9265,2020Q2
India,p1,Monthly,Digital,Y,Medium,N,Y,0,5.0,9.53,70.18350392,65.46,2020Q2
Japan,p1,Annual,Digital,N,High,N,Y,4,5.0,17.18,79.8209809,82.31,2020Q3
USA,p1,Monthly,Digital,Y,Low,Y,Y,5,5.0,60.3905,78.12183704,75.8,2020Q2
USA,p2,Monthly,Offline,N,Medium,Y,Y,3,5.0,45.6605,80.82359558,80.78,2020Q3
USA,p1,Monthly,Digital,Y,High,Y,Y,5,4.503313605,59.75060251,75.98282139,71.80033085,2019Q3
Japan,p1,Monthly,Digital,Y,Medium,N,N,3,5.0,30.97,73.10307573,75.42,2020Q3
India,p2,Monthly,Digital,N,High,Y,Y,1,4.0,19.6607,71.44258096,69.295,2020Q2
India,p1,Annual,Offline,N,Medium,N,N,4,3.992678124,9.684739777,79.3983029,74.46692402,2019Q2
Japan,p1,Annual,Digital,N,High,N,Y,4,5.0,18.13,83.84663635,81.86,2019Q4
India,p1,Annual,Digital,Y,Low,Y,N,1,5.000694863,8.943300774,70.49826717,68.63889404,2019Q3
Japan,p2,Monthly,Offline,Y,High,N,N,2,6.012424725,11.57582436,82.29294694,79.19897504,2018Q4
USA,p2,Monthly,Digital,Y,High,Y,Y,1,4.0,102.5905,85.18029616,79.8,2020Q1
USA,p2,Monthly,Digital,Y,Low,N,N,5,5.0,107.31,80.78970018,75.405,2020Q3
India,p2,Monthly,Offline,Y,High,N,N,1,4.008990234,11.14897854,67.59483573,72.43739093,2019Q3
Japan,p2,Bi-annual,Digital,Y,High,N,N,3,6.0,39.69,91.81268626,93.36,2020Q2
India,p1,Annual,Offline,Y,Medium,N,Y,4,5.997142113,10.60729348,76.42206982,73.77564973,2018Q4
Japan,p1,Monthly,Offline,Y,Medium,Y,N,3,6.005370047,21.67903801,76.90742633,82.87047037,2018Q4
India,p1,Monthly,Digital,N,Low,N,Y,4,3.996114308,10.00658591,72.46737169,74.23918134,2019Q3
India,p1,Annual,Offline,N,Low,N,N,1,5.0,5.83,70.96926494,67.29,2020Q3
USA,p2,Annual,Offline,Y,Low,Y,N,4,7.0,85.4905,86.77165576,83.349,2020Q1
Japan,p2,Monthly,Digital,Y,High,N,N,2,5.023955202,41.72748705,87.66642539,89.55999063,2019Q3
USA,p2,Monthly,Digital,N,High,Y,Y,5,4.006867692,107.4164627,79.91953331,78.69839182,2019Q3
USA,p1,Annual,Offline,N,High,N,N,1,4.000487004,10.61480454,70.7262625,66.93983916,2019Q3
India,p2,Annual,Digital,Y,Medium,Y,Y,5,6.0,8.617,77.3633114,77.63,2020Q3
USA,p1,Monthly,Offline,Y,Medium,N,Y,3,3.0,65.44,72.28149885,73.55,2020Q2
India,p2,Monthly,Digital,Y,Low,N,Y,3,4.001347987,8.70901564,74.01652927,70.59281575,2019Q2
India,p1,Annual,Offline,Y,Medium,Y,Y,5,5.005058601,8.610412535,74.14904461,62.39421792,2018Q4
USA,p1,Monthly,Offline,Y,Medium,N,N,2,5.0,68.3,72.34633904,68.25,2020Q3
Japan,p2,Monthly,Offline,Y,High,N,N,3,6.0,49.99,88.40246986,89.18,2020Q1
USA,p1,Annual,Offline,N,Medium,Y,Y,3,5.0,23.4906,83.67457313,80.03,2020Q1
India,p2,Monthly,Digital,Y,High,N,Y,3,5.0,10.35,70.09559021,74.64,2020Q3
USA,p1,Annual,Offline,Y,High,Y,Y,5,4.0,52.6306,82.36996295,81.74,2020Q2
Japan,p2,Bi-annual,Offline,Y,Low,N,Y,5,5.0,40.6,87.77573613,90.39,2020Q3
USA,p2,Monthly,Offline,Y,Low,Y,Y,1,3.0,100.3207,77.35816371,79.825,2020Q3
Japan,p1,Bi-annual,Offline,Y,Medium,N,N,5,7.0,21.44,89.61165556,86.77,2020Q3
USA,p2,Monthly,Offline,Y,High,Y,N,3,4.0,100.1405,85.87928046,82.712,2020Q2
USA,p1,Annual,Digital,N,Medium,Y,N,0,3.994139494,26.93059182,78.83588805,73.56253636,2018Q4
Japan,p1,Annual,Digital,N,Medium,N,Y,2,5.0,14.54,82.90537837,82.45,2019Q4
Japan,p2,Annual,Offline,Y,Low,N,Y,5,7.0,41.99,91.15938504,92.0,2020Q1
Japan,p2,Monthly,Offline,Y,Low,Y,Y,5,4.503735199,40.55588479,83.98761951,85.7468805,2019Q1
India,p1,Annual,Offline,Y,Medium,Y,N,5,7.033304579,6.351550041,79.39894276,83.97823996,2019Q3
India,p1,Annual,Offline,Y,Low,Y,N,2,4.0,10.7306,74.29323912,71.4254,2020Q2
India,p1,Annual,Offline,Y,Low,N,N,1,4.0,12.22,72.05178823,66.36,2020Q2
USA,p2,Monthly,Digital,Y,Medium,N,N,4,3.0,108.54,81.51668301,74.91,2020Q2
Japan,p2,Monthly,Digital,Y,High,Y,N,5,6.025283441,13.97132259,85.23276493,88.43985063,2019Q2
Japan,p1,Bi-annual,Offline,N,High,N,Y,5,4.0,13.11,86.64744997,88.38,2020Q2
USA,p2,Annual,Offline,Y,Medium,Y,N,1,5.01873893,35.76610796,74.10757464,86.94069079,2019Q1
USA,p1,Monthly,Offline,Y,Low,Y,N,4,3.509560934,76.35827422,79.61184282,76.94490604,2019Q1
India,p1,Monthly,Offline,Y,Medium,N,N,1,2.0,9.2,69.11644872,67.46,2020Q2
India,p1,Annual,Digital,N,Low,N,N,1,4.0,5.99,61.60838848,60.76,2020Q1
India,p1,Monthly,Digital,Y,Low,Y,N,1,5.012850927,13.09151915,66.83990023,69.63092056,2019Q2
Japan,p1,Annual,Digital,Y,Medium,N,Y,1,5.0,22.43,81.7881817,85.06,2020Q2
India,p2,Monthly,Digital,N,Low,Y,N,5,6.0,17.0905,76.02954908,68.68575,2020Q1
India,p2,Annual,Digital,N,Medium,Y,N,3,4.511581052,66.8722943,74.1730547,74.75622109,2018Q4
USA,p2,Monthly,Digital,Y,Low,Y,Y,4,5.0,100.7207,81.51455824,79.96,2020Q2
Japan,p1,Monthly,Digital,Y,Low,N,Y,5,3.004260139,22.29022476,67.87629488,73.37654407,2018Q4
India,p1,Monthly,Digital,N,Low,Y,Y,5,5.0,6.5706,68.61625855,66.25,2020Q1
Japan,p1,Bi-annual,Digital,N,High,N,Y,2,5.994004854,23.06330709,86.35107363,89.84853384,2019Q1
India,p1,Monthly,Offline,Y,Low,Y,N,5,6.0,14.6006,71.40404694,68.3966,2019Q4
India,p1,Annual,Offline,N,Low,Y,Y,4,4.0,5.5,75.4612613,74.605,2020Q3
USA,p2,Annual,Offline,Y,Medium,Y,N,3,5.0,83.5805,81.90221292,84.7445,2020Q2
India,p1,Annual,Offline,N,High,N,Y,2,5.0,5.99,71.11651733,70.0,2020Q1
India,p2,Annual,Offline,Y,Medium,N,N,1,5.0,9.9,76.89716426,73.5,2020Q1
USA,p1,Monthly,Offline,Y,High,Y,Y,5,4.006077429,65.46028603,73.12100988,78.26104867,2019Q1
India,p2,Monthly,Offline,Y,Medium,N,Y,1,6.0,11.04,73.94802397,73.95,2019Q4
Japan,p2,Monthly,Offline,Y,Low,N,N,3,4.0,49.99,86.83615857,86.24,2020Q1
Japan,p1,Monthly,Digital,Y,High,N,N,3,5.996658106,22.28944328,84.92189805,84.84441339,2019Q3
Japan,p1,Bi-annual,Offline,N,Low,N,N,3,6.0,13.49,82.5158026,83.3,2020Q1
India,p1,Monthly,Digital,N,Medium,N,Y,2,4.0,8.77,61.00851716,60.72,2019Q4
USA,p2,Annual,Offline,N,High,N,N,5,6.0,40.26,76.62439145,80.58,2020Q2
USA,p1,Annual,Digital,Y,Low,Y,Y,5,5.0,52.2405,75.10309984,79.275,2020Q1
USA,p2,Monthly,Offline,Y,High,Y,N,1,4.0,98.5706,86.01948852,81.8888,2020Q2
Japan,p2,Monthly,Offline,N,High,N,Y,5,3.038667977,24.08868455,74.38496032,73.66656803,2019Q2
USA,p1,Annual,Offline,Y,High,Y,Y,5,4.992440359,106.2276539,79.18855465,81.14945431,2019Q1
India,p2,Annual,Offline,N,High,N,N,4,3.0,14.9,72.86534293,71.14,2019Q4
India,p2,Monthly,Offline,N,Medium,Y,Y,4,6.0,17.2305,74.21192459,74.41,2020Q3
USA,p1,Monthly,Digital,Y,Low,Y,Y,4,5.0,61.9107,70.55122599,74.895,2020Q3
USA,p1,Annual,Digital,N,Low,N,Y,1,3.0,23.76,71.4367094,72.23,2020Q3
USA,p1,Annual,Offline,Y,Medium,N,N,4,4.0,53.24,78.1237223,77.21,2019Q4
USA,p2,Monthly,Offline,N,High,N,N,3,5.0,47.82,72.98614872,77.59,2020Q2
Japan,p2,Annual,Digital,Y,High,N,Y,4,5.0,46.65,82.94488117,85.34,2019Q4
Japan,p2,Monthly,Digital,N,Low,N,N,3,3.006229283,40.02601299,73.16896504,70.05657754,2019Q3
USA,p2,Monthly,Offline,N,High,N,N,2,3.0,48.71,74.19941745,75.23,2020Q2
Japan,p1,Annual,Offline,N,Low,N,Y,3,5.017927434,23.84408031,79.65733054,83.41449169,2019Q3
USA,p1,Monthly,Offline,N,Medium,Y,Y,4,3.998404789,64.02368321,78.8743895,75.40439342,2019Q2
India,p2,Monthly,Digital,Y,High,Y,Y,5,5.0,11.3005,82.64877459,76.64,2020Q3
Japan,p2,Bi-annual,Offline,Y,High,N,N,2,5.0,37.99,90.97079181,91.14,2020Q1
USA,p1,Monthly,Digital,Y,Low,Y,Y,4,5.011985368,25.52117228,83.3705665,78.69840072,2019Q1
India,p1,Annual,Digital,Y,Medium,N,N,4,5.0,7.87,68.6894649,65.81,2020Q3
USA,p1,Annual,Digital,N,Low,N,Y,1,5.0,24.99,72.57689907,71.0,2020Q1
Japan,p1,Annual,Digital,Y,Medium,N,N,3,6.0,22.0,85.80893725,84.29,2019Q4
India,p2,Monthly,Digital,N,High,Y,N,3,5.0,15.271,79.78581072,74.763,2020Q2
India,p2,Annual,Digital,Y,Low,Y,N,5,6.0,10.565,74.26218622,71.899,2020Q2
USA,p2,Annual,Digital,Y,High,Y,Y,4,5.0,85.0806,85.56294156,84.84,2019Q4
Japan,p1,Bi-annual,Digital,Y,Low,N,Y,3,7.0,21.35,89.70092054,89.64,2020Q2
Japan,p1,Bi-annual,Digital,Y,High,N,N,5,5.0,23.05,87.15079,88.1,2019Q4
USA,p1,Monthly,Offline,Y,Medium,Y,Y,3,6.0,68.0605,74.65008483,70.23,2019Q4
India,p2,Monthly,Offline,Y,Low,Y,Y,2,4.0,14.6205,70.55907989,72.27,2019Q4
USA,p2,Annual,Digital,Y,High,N,N,3,4.994000062,96.89644043,82.86079863,84.3938463,2019Q2
Japan,p1,Bi-annual,Digital,N,Medium,N,Y,0,5.0,16.64,80.20774202,84.35,2019Q4
Japan,p1,Annual,Digital,Y,Low,N,Y,3,6.0,22.99,86.14634423,84.5,2020Q1
USA,p2,Monthly,Offline,N,Low,Y,Y,5,5.003814716,35.08532848,79.01479251,89.54876862,2019Q1
India,p2,Annual,Digital,Y,Medium,N,N,3,3.994950663,9.124038763,70.78541711,64.86467755,2019Q1
India,p2,Annual,Offline,N,Medium,Y,Y,3,5.0,13.9407,76.53528744,77.04,2020Q1
Japan,p1,Monthly,Digital,Y,Medium,N,Y,5,4.0,27.99,79.51561366,81.0,2020Q1
USA,p2,Monthly,Digital,N,Low,Y,Y,2,4.0,48.6506,69.5595083,72.78,2019Q4
Japan,p2,Monthly,Digital,N,High,N,N,3,7.0,35.23,83.61301224,84.06,2020Q2
USA,p2,Monthly,Offline,Y,High,N,Y,2,3.0,105.34,79.2816908,78.65,2020Q3
India,p1,Annual,Digital,Y,Low,N,Y,1,3.0,9.94,64.05548305,60.05,2020Q2
Japan,p1,Monthly,Offline,N,High,N,N,2,3.983168693,14.81852364,73.68533636,80.87347547,2019Q3
India,p1,Annual,Offline,N,Medium,N,Y,4,5.0,5.5,72.29637558,70.18,2020Q3
Japan,p2,Bi-annual,Offline,N,Low,N,N,3,4.983408081,27.8221826,80.01886711,82.15403339,2019Q3
USA,p1,Monthly,Offline,N,High,N,N,2,4.0,29.73,74.48814372,69.35,2020Q2
USA,p1,Monthly,Offline,Y,Low,N,Y,5,5.0,70.78,71.10256704,67.71,2019Q4
India,p2,Annual,Offline,Y,Low,Y,Y,5,7.0,9.977,74.04778274,78.41,2019Q4
USA,p2,Monthly,Digital,N,Low,N,Y,2,6.0,45.16,71.46573775,74.83,2020Q2
USA,p2,Monthly,Offline,Y,Medium,Y,N,3,6.0,96.121,81.55243243,82.459,2020Q2
India,p2,Annual,Offline,N,Low,N,Y,3,5.0,14.63,76.39031399,71.61,2020Q3
India,p1,Annual,Digital,N,Medium,Y,Y,5,4.0,5.6905,71.22880378,67.2,2020Q1
Japan,p2,Annual,Offline,Y,Medium,N,N,4,6.0,44.18,88.87174458,88.95,2020Q2
USA,p1,Monthly,Offline,N,Low,Y,N,1,5.0105657,27.6691651,76.46852811,74.64713553,2019Q2
India,p2,Monthly,Offline,N,Medium,Y,Y,3,5.0,14.4606,75.7252615,76.12,2019Q4
India,p2,Annual,Digital,Y,High,N,N,4,5.0,8.77,77.05097611,73.65,2020Q2
USA,p1,Monthly,Offline,N,Medium,Y,Y,3,4.0,28.7907,76.08689915,73.465,2019Q4
Japan,p2,Annual,Offline,N,Medium,N,Y,2,6.0,29.99,91.02569296,90.0,2020Q1
Japan,p1,Bi-annual,Digital,Y,High,N,Y,3,6.018430593,20.48674775,90.9656547,91.14568764,2018Q4
USA,p2,Annual,Offline,N,Low,N,Y,3,4.0,41.52,73.45407261,77.97,2020Q2
USA,p2,Monthly,Offline,Y,High,N,Y,4,3.0,109.27,80.33061597,79.72,2020Q2
India,p2,Annual,Offline,Y,Low,N,Y,5,4.0,11.18,74.48101225,72.72,2020Q2
USA,p1,Annual,Offline,N,Low,Y,N,1,3.999128439,46.50335505,77.53423186,72.96390783,2019Q2
