country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
USA,p1,Monthly,Offline,N,Low,Y,Y,1,5.0,26.5905,77.38625817,74.35,2020Q2
USA,p2,Monthly,Digital,Y,Medium,Y,N,4,4.022002701,42.5367499,76.88452832,74.16883307,2018Q4
USA,p1,Monthly,Offline,Y,Low,N,N,2,6.011490338,97.2833534,77.21489446,69.4693562,2019Q3
USA,p2,Monthly,Digital,N,Medium,N,N,1,4.0,47.99,77.26135318,71.54,2020Q1
India,p1,Annual,Offline,N,Medium,Y,Y,3,3.995291025,4.979417177,68.02491306,69.84211982,2019Q1
USA,p2,Monthly,Digital,N,High,N,Y,1,4.0,47.99,76.55397882,73.5,2020Q1
India,p1,Monthly,Digital,Y,Medium,Y,N,4,5.0,9.0906,71.40589866,67.6738,2020Q3
India,p1,Annual,Offline,N,Medium,N,N,2,2.0,9.86,66.94459557,63.75,2019Q4
Japan,p1,Annual,Offline,N,Low,N,N,5,5.016310965,22.47034674,88.10108768,82.42058205,2019Q1
USA,p2,Annual,Digital,Y,High,Y,Y,4,5.0,84.5906,89.1350195,85.33,2020Q1
USA,p2,Monthly,Offline,N,Medium,Y,N,5,5.502689827,32.30368619,78.87666853,75.64793227,2019Q3
USA,p1,Monthly,Offline,Y,Medium,Y,Y,4,6.008632534,10.76879192,73.99139447,77.83122783,2019Q1
USA,p1,Monthly,Offline,N,High,N,Y,3,4.02151778,21.99577824,61.705253,62.69677058,2018Q4
India,p2,Monthly,Offline,N,Medium,N,Y,3,4.0,18.6,74.49437686,68.89,2020Q2
USA,p2,Monthly,Offline,Y,Medium,Y,Y,4,8.0,99.0006,85.18716998,86.25,2020Q3
Japan,p2,Annual,Offline,N,High,N,N,1,5.006313428,26.23137343,86.1308387,78.12535646,2019Q1
USA,p1,Annual,Offline,Y,High,N,Y,5,2.0,57.02,80.45796424,78.97,2020Q3
Japan,p1,Bi-annual,Digital,Y,Medium,N,N,5,6.0,23.92,83.33133922,86.25,2020Q3
USA,p1,Monthly,Offline,Y,High,Y,Y,5,5.0,62.0306,80.41904039,77.38,2020Q1
USA,p2,Monthly,Offline,N,Low,N,Y,4,6.0,51.26,74.81068554,72.73,2019Q4
USA,p1,Monthly,Digital,Y,Low,N,N,4,3.411686161,56.89715531,70.40056148,63.68024208,2019Q2
India,p2,Annual,Offline,Y,Low,Y,N,1,7.0,8.91,81.12556545,79.772,2020Q1
India,p1,Monthly,Digital,N,High,N,Y,4,4.00506843,9.327371997,68.03067655,64.84252604,2019Q3
Japan,p2,Monthly,Digital,N,Medium,N,Y,4,4.017645935,38.72030496,74.76056709,71.64277907,2019Q1
USA,p1,Annual,Digital,Y,Low,N,Y,1,5.007687634,12.37212822,79.77722614,77.83298894,2019Q3
Japan,p1,Monthly,Offline,N,Low,N,N,5,5.0,20.5,73.66953371,78.34,2020Q3
India,p2,Annual,Digital,N,High,Y,Y,1,3.008578205,5.626976108,61.25300531,64.97577346,2019Q1
Japan,p2,Bi-annual,Digital,Y,Medium,N,Y,1,7.0,38.35,87.8494609,94.64,2019Q4
India,p2,Annual,Offline,Y,Medium,N,N,5,5.0,9.9,78.62343117,74.48,2020Q1
USA,p2,Monthly,Offline,N,Low,Y,N,3,5.0,42.1606,83.66966362,81.8988,2020Q3
USA,p1,Annual,Digital,N,Low,Y,Y,5,4.762695073,30.67588562,75.60736042,76.17185933,2019Q1
Japan,p1,Annual,Digital,N,Medium,N,N,4,4.0,16.42,81.46403719,78.93,2020Q3
USA,p2,Annual,Offline,Y,High,N,Y,2,7.020218708,95.95451189,91.69248201,86.05968689,2019Q2
USA,p2,Monthly,Digital,Y,High,N,Y,1,4.0,106.12,81.69482996,77.87,2020Q3
India,p2,Annual,Offline,Y,High,N,Y,2,5.0,9.09,77.93084841,77.81,2019Q4
USA,p2,Monthly,Digital,Y,High,Y,N,5,4.025747161,95.3956348,74.70792542,80.63650949,2019Q3
India,p1,Monthly,Digital,Y,High,N,N,3,3.0,14.2,67.8120285,62.46,2019Q4
USA,p1,Annual,Digital,Y,Medium,Y,Y,5,4.0,52.4906,79.26463506,79.76,2020Q2
Japan,p1,Bi-annual,Digital,N,Medium,N,N,5,4.0,14.42,83.97759331,85.8,2019Q4
USA,p1,Monthly,Offline,Y,Medium,Y,Y,4,4.0,62.5107,75.58903846,76.97,2020Q2
Japan,p1,Monthly,Digital,Y,Medium,N,N,2,7.007733349,28.03676185,82.39517349,88.82661666,2018Q4
USA,p2,Monthly,Digital,Y,Medium,Y,Y,4,6.0,102.5905,78.12731346,80.85,2020Q1
USA,p2,Monthly,Offline,N,High,N,Y,1,4.0,50.84,78.89408604,74.65,2020Q3
USA,p1,Annual,Offline,N,High,N,N,5,5.0,22.79,83.23940171,78.64,2020Q3
India,p2,Annual,Digital,Y,Medium,N,Y,3,5.0,9.9,78.00418606,72.0,2020Q1
India,p1,Monthly,Offline,N,High,N,Y,3,6.047371955,11.04111843,84.40515643,81.22051596,2019Q2
India,p1,Monthly,Digital,Y,High,Y,Y,5,4.0,9.6455,70.79475064,70.57,2019Q4
USA,p2,Annual,Offline,Y,High,Y,N,4,4.0,85.9707,82.6626327,85.8024,2020Q2
USA,p2,Annual,Offline,Y,Low,Y,N,5,4.991109616,48.11392571,82.48993185,79.64476749,2019Q1
USA,p2,Annual,Digital,Y,High,N,Y,5,7.057404803,39.28310796,89.41826174,91.30318284,2018Q4
Japan,p1,Annual,Offline,Y,Low,N,N,1,7.0,20.96,82.72523171,85.33,2020Q2
Japan,p2,Monthly,Offline,Y,Low,N,Y,5,5.0,47.77,88.98960619,90.22,2020Q3
India,p1,Monthly,Digital,N,Medium,N,Y,3,5.0,7.51,65.27204504,62.48,2020Q3
USA,p1,Annual,Digital,Y,Medium,Y,Y,5,3.0,52.9506,84.01102949,79.3,2019Q4
India,p2,Monthly,Digital,N,High,N,Y,3,3.0,17.22,72.47511912,69.27,2020Q3
India,p1,Annual,Digital,Y,Low,Y,N,5,5.491123922,14.07410293,73.89369484,71.00106762,2019Q1
USA,p2,Monthly,Offline,N,Medium,Y,N,1,4.0,45.0206,78.6911375,80.0776,2020Q2
USA,p1,Annual,Digital,Y,Low,N,N,2,3.0,56.38,71.27016856,72.11,2020Q3
India,p1,Monthly,Offline,N,Medium,Y,Y,4,2.989156072,8.849049754,64.53824232,72.16907582,2019Q1
India,p2,Monthly,Digital,N,Low,Y,N,3,1.952409129,8.393333755,62.90079843,66.47361676,2019Q3
USA,p1,Monthly,Offline,Y,Medium,Y,Y,3,4.0,62.0306,78.07366544,76.32,2020Q1
Japan,p1,Annual,Digital,Y,Medium,N,N,4,6.0,20.57,82.88559893,86.7,2020Q2
India,p1,Annual,Digital,Y,High,N,Y,1,5.0,8.31,62.14042759,63.18,2020Q2
USA,p2,Annual,Digital,Y,Low,N,Y,2,3.999192089,88.73414275,81.45356254,81.58751968,2019Q1
India,p1,Monthly,Digital,Y,High,Y,N,3,4.0,9.2206,67.61396073,70.6602,2019Q4
India,p2,Monthly,Offline,N,Medium,Y,Y,4,6.0,15.0806,76.92989887,75.5,2020Q2
USA,p2,Monthly,Offline,Y,Medium,Y,Y,3,5.0,99.731,86.00242591,80.51,2019Q4
Japan,p2,Monthly,Digital,Y,High,N,N,3,5.0,48.55,81.84483001,84.74,2019Q4
Japan,p2,Annual,Digital,N,Low,N,Y,2,4.0,31.7,80.75906627,83.54,2019Q4
India,p1,Annual,Digital,Y,Low,Y,Y,1,4.005804916,8.32717172,70.63876127,65.64453298,2019Q3
USA,p2,Annual,Digital,Y,Low,Y,N,4,6.004885477,82.02779583,81.97222642,82.96945231,2019Q1
India,p2,Monthly,Offline,N,Medium,N,N,0,6.0,15.44,70.81462607,70.17,2019Q4
India,p1,Annual,Digital,Y,Low,N,Y,5,3.660643798,12.4944226,66.21804635,62.39576485,2019Q2
USA,p2,Annual,Offline,Y,Medium,N,Y,3,4.0,91.17,82.77294864,79.32,2019Q4
India,p2,Monthly,Digital,N,High,Y,Y,0,2.996761044,22.65716351,73.15389524,74.56399978,2019Q3
India,p1,Annual,Digital,Y,High,N,Y,1,6.0,9.49,67.56849695,62.0,2020Q1
India,p2,Monthly,Offline,Y,Medium,N,Y,4,5.0,12.99,76.72929,74.0,2020Q1
USA,p2,Monthly,Digital,Y,Low,N,Y,5,5.0,107.99,76.22242906,76.25,2020Q1
USA,p2,Annual,Digital,Y,High,N,Y,1,4.993073976,47.5564171,75.87942784,73.87399684,2019Q1
USA,p2,Monthly,Offline,N,Low,Y,Y,3,4.0,48.5207,76.25113134,77.6975,2019Q4
USA,p2,Annual,Offline,Y,Low,Y,Y,5,6.003406788,90.79832776,81.51660972,83.1938708,2018Q4
USA,p1,Annual,Offline,Y,High,Y,N,2,5.0,51.4206,85.34155606,81.2964,2020Q3
India,p2,Monthly,Digital,N,High,Y,N,5,2.979293124,9.605199928,58.77623491,57.42188916,2019Q2
India,p1,Monthly,Digital,N,Low,N,Y,3,3.974639106,11.76101399,62.21786828,65.09981621,2018Q4
USA,p1,Monthly,Offline,N,High,N,N,2,5.0,28.54,74.59199369,70.54,2019Q4
Japan,p2,Annual,Offline,N,Low,N,Y,1,5.0,29.99,85.11889017,89.0,2020Q1
Japan,p1,Annual,Digital,N,Medium,N,N,2,5.0,14.99,79.85395813,80.36,2020Q1
Japan,p2,Monthly,Digital,Y,Low,N,N,3,2.0,52.09,79.64686119,79.975,2019Q4
India,p2,Monthly,Offline,Y,High,N,Y,5,5.0,12.19,75.24108292,75.3,2019Q4
India,p1,Annual,Offline,N,High,Y,Y,5,4.0,10.2805,68.04687524,68.91,2019Q4
India,p2,Annual,Offline,N,Medium,N,N,4,3.992863744,8.122960596,73.43861922,71.44798012,2019Q2
India,p1,Annual,Offline,Y,Medium,Y,N,3,4.989769421,10.42205556,67.27817056,72.73429928,2018Q4
India,p1,Annual,Offline,N,High,Y,Y,4,3.994653093,3.335215458,69.95303408,73.54211331,2019Q2
USA,p2,Monthly,Offline,Y,Medium,N,Y,4,4.00693247,47.04811038,80.73631603,82.91221043,2018Q4
USA,p2,Annual,Offline,Y,High,Y,Y,0,5.0,86.4907,75.91502625,82.8,2020Q3
India,p2,Monthly,Offline,N,Low,Y,N,5,5.0,17.8706,74.55491575,71.756,2019Q4
USA,p2,Monthly,Digital,N,Medium,Y,Y,4,5.004851481,37.311006,81.00897395,82.34362306,2019Q2
USA,p2,Monthly,Offline,Y,High,N,Y,3,4.0,109.76,79.37553879,76.23,2020Q3
Japan,p2,Monthly,Digital,Y,Low,N,N,5,6.0,49.99,79.20409401,83.3,2020Q1
USA,p2,Annual,Offline,Y,High,Y,Y,1,5.0,83.6907,85.31988225,85.6,2020Q1
USA,p1,Monthly,Offline,Y,High,Y,Y,5,3.984069449,67.16753338,83.87019437,73.92542839,2019Q3
USA,p1,Annual,Offline,Y,Medium,N,Y,2,6.0,56.03,83.89941298,73.96,2020Q3
USA,p1,Monthly,Offline,N,Medium,Y,N,3,4.0,28.8406,72.07365228,72.066,2020Q3
Japan,p1,Monthly,Offline,N,Medium,N,Y,1,2.0,17.99,83.10419366,82.5,2020Q1
India,p2,Annual,Digital,N,High,N,N,2,4.0,14.99,70.80889803,69.09,2020Q1
USA,p2,Annual,Offline,Y,Medium,N,N,4,4.0,89.99,76.83997564,80.36,2020Q1
India,p2,Monthly,Digital,N,Medium,Y,Y,1,3.0,16.9106,73.26478241,70.49,2020Q1
USA,p2,Annual,Digital,Y,Medium,N,Y,2,4.0,89.99,76.05182742,77.0,2020Q1
Japan,p1,Annual,Digital,Y,Low,N,Y,2,6.0,22.88,79.60600757,84.11,2020Q2
India,p2,Annual,Offline,Y,Medium,N,Y,1,5.997064736,14.27926448,66.61776045,64.46619483,2019Q3
USA,p1,Monthly,Digital,Y,High,N,N,3,2.992576957,63.20829877,73.81394986,63.03532628,2018Q4
India,p2,Annual,Digital,Y,High,N,Y,2,5.0,9.9,75.19453624,73.0,2020Q1
India,p1,Annual,Digital,Y,Low,N,N,3,3.992990995,4.644819884,65.70041845,65.13994958,2019Q2
USA,p2,Monthly,Digital,Y,Low,Y,N,5,5.0,103.1306,77.4700828,77.5885,2020Q3
India,p1,Annual,Offline,Y,Medium,N,N,2,2.0,10.88,66.07382126,68.19,2019Q4
India,p1,Annual,Digital,N,Medium,Y,Y,4,6.000560239,8.860008459,62.49901884,75.49841479,2019Q1
USA,p1,Monthly,Offline,Y,Low,Y,Y,1,4.001535266,11.05702737,81.44035532,70.65317404,2019Q1
India,p1,Annual,Digital,Y,Medium,N,Y,3,3.0,9.49,66.54582844,64.0,2020Q1
USA,p1,Annual,Offline,Y,Low,N,N,4,5.0,53.2,79.03927635,77.74,2019Q4
India,p2,Annual,Digital,N,Low,Y,N,5,4.0,12.671,75.17516223,75.4715,2020Q2
India,p1,Annual,Digital,N,High,N,N,3,2.0,5.71,63.30389308,63.49,2020Q2
Japan,p1,Annual,Offline,Y,Low,N,Y,1,3.01393296,6.424822377,79.98341154,75.4976065,2019Q3
India,p2,Monthly,Digital,Y,Low,Y,Y,5,5.0,11.991,76.22498388,75.6,2019Q4
USA,p1,Annual,Offline,N,Low,N,N,3,4.0,25.92,74.02311052,72.57,2020Q2
USA,p1,Monthly,Digital,N,Medium,Y,N,2,5.0,26.6206,71.54522174,70.1308,2020Q2
India,p1,Annual,Offline,Y,Medium,N,N,4,3.0,12.36,66.57641151,67.69,2020Q2
Japan,p2,Bi-annual,Digital,Y,Medium,N,N,1,6.0,39.14,85.05633147,91.95,2020Q3
Japan,p2,Bi-annual,Digital,N,Medium,N,N,5,6.0,31.18,85.49153986,86.95,2019Q4
Japan,p1,Monthly,Digital,N,Medium,N,N,3,3.0,17.99,77.04767196,74.97,2020Q1
USA,p1,Monthly,Digital,N,Low,Y,Y,1,3.0,25.9007,72.20024723,72.075,2019Q4
Japan,p2,Monthly,Digital,N,High,N,Y,2,5.997292974,40.26115299,85.59816958,91.32699407,2019Q3
Japan,p1,Bi-annual,Digital,Y,High,N,N,4,5.010273155,47.18781359,84.0740441,86.87980262,2018Q4
USA,p1,Annual,Offline,N,Low,Y,Y,4,6.0,23.7405,80.69431261,78.75,2020Q1
India,p2,Annual,Offline,N,High,Y,Y,4,7.0,15.7806,78.56899057,78.34,2020Q2
USA,p1,Monthly,Offline,Y,Low,N,Y,4,4.0,66.24,72.96986472,71.25,2019Q4
India,p1,Monthly,Digital,Y,High,N,Y,5,5.0,9.35,69.71302508,68.14,2020Q2
Japan,p2,Bi-annual,Digital,N,High,N,Y,1,5.0,25.61,88.06256375,91.88,2020Q2
USA,p2,Monthly,Digital,Y,Medium,Y,N,4,4.0,98.0207,78.61959095,81.5793,2020Q3
India,p2,Monthly,Offline,N,High,N,Y,0,4.010693897,19.42076213,62.38373195,62.35521864,2018Q4
India,p1,Monthly,Digital,Y,Low,N,N,3,2.0,12.17,67.41176956,61.06,2020Q3
India,p1,Annual,Digital,Y,High,Y,N,5,3.0,10.4655,74.10088579,66.9785,2020Q3
Japan,p1,Monthly,Offline,N,Medium,N,Y,5,5.002715901,26.64277866,75.46808958,83.22180689,2019Q3
India,p2,Monthly,Digital,Y,Medium,N,N,1,3.0,12.99,69.99202447,66.64,2020Q1
India,p1,Annual,Digital,Y,Low,Y,N,5,3.0,11.5706,69.49958778,64.872,2020Q2
India,p1,Annual,Digital,N,Medium,N,Y,5,2.970024093,15.20174321,64.29647293,61.18893484,2019Q2
Japan,p2,Monthly,Offline,N,Low,N,Y,0,5.0,36.32,82.95916863,83.17,2020Q2
Japan,p2,Annual,Digital,N,Low,Y,N,4,4.01705811,14.0756012,85.02533364,85.38694325,2019Q3
India,p1,Annual,Offline,N,Medium,N,N,5,5.0,5.5,71.99731732,68.44,2020Q2
India,p2,Annual,Offline,N,Low,N,Y,5,4.330560585,14.6027001,77.40577087,80.09549863,2019Q2
India,p1,Monthly,Digital,N,Low,Y,Y,1,5.009657274,9.292565463,60.10220572,61.08535562,2019Q1
Japan,p1,Bi-annual,Offline,Y,Low,N,Y,5,5.513703565,12.34535528,82.09535644,75.37754036,2019Q1
USA,p2,Annual,Digital,N,High,Y,N,4,6.0,37.9905,80.53471785,80.262,2020Q1
Japan,p1,Monthly,Digital,N,High,N,N,3,4.0,21.1,74.09617716,74.8,2019Q4
USA,p1,Monthly,Digital,Y,Low,Y,Y,4,4.0,62.0907,78.51082629,74.715,2019Q4
Japan,p2,Bi-annual,Digital,N,High,N,N,0,5.0,28.86,87.1083615,86.82,2019Q4
USA,p1,Monthly,Offline,N,High,Y,N,5,2.0,30.3505,73.82650741,72.7425,2020Q3
India,p1,Monthly,Digital,N,Medium,N,N,5,4.50886237,11.25999445,65.35008222,63.51026081,2019Q2
USA,p1,Annual,Digital,Y,Medium,N,Y,3,5.0,52.99,75.84251301,77.5,2020Q2
Japan,p2,Monthly,Offline,N,High,N,Y,2,5.530887174,42.94888784,87.81010104,90.80108414,2019Q3
Japan,p2,Annual,Offline,N,High,N,Y,4,5.48342136,43.88093478,86.23309219,87.90167858,2019Q3
India,p1,Annual,Digital,N,Medium,N,N,3,5.007304287,9.256043932,74.3902469,74.6122099,2018Q4
India,p2,Monthly,Offline,Y,Low,Y,N,5,4.525704151,10.2301037,71.66827958,76.81046865,2019Q3
Japan,p2,Monthly,Digital,Y,Medium,N,Y,5,7.0,47.3,88.75043311,88.69,2020Q2
India,p2,Annual,Offline,N,Low,N,Y,4,5.0,19.51,68.54264003,67.98,2019Q4
Japan,p2,Annual,Offline,N,Low,N,Y,5,4.003959078,15.71858446,86.79272474,90.50010567,2018Q4
Japan,p2,Bi-annual,Digital,N,Low,N,N,5,6.582851267,14.84815053,87.68830529,90.96881867,2019Q1
Japan,p2,Annual,Offline,N,Medium,N,Y,2,8.0,31.24,92.96895817,88.75,2020Q3
USA,p2,Monthly,Digital,Y,Low,N,N,1,3.0,107.99,74.52982714,73.01,2020Q1
USA,p1,Annual,Offline,N,High,N,Y,5,7.032522033,25.66248057,79.96380835,86.67487752,2018Q4
India,p1,Annual,Digital,N,High,N,Y,1,4.0,8.11,67.66783603,62.92,2019Q4
Japan,p2,Bi-annual,Offline,N,High,N,N,5,6.0,27.9,95.0,90.72,2020Q2
USA,p1,Annual,Digital,N,Low,N,Y,1,4.002175679,28.00231813,73.3233536,75.83423991,2019Q1
India,p1,Monthly,Digital,Y,High,Y,Y,4,5.0,7.9206,72.56252123,73.37,2020Q2
India,p2,Annual,Offline,N,Low,Y,N,4,4.0,16.3805,70.49076544,71.17625,2019Q4
India,p1,Monthly,Offline,N,High,N,Y,5,5.0,6.99,68.16523366,70.5,2020Q1
India,p1,Monthly,Digital,Y,Low,Y,Y,1,4.001378387,10.27421474,61.16726268,56.85284633,2018Q4
India,p1,Monthly,Offline,Y,Medium,N,Y,5,3.003766576,7.160766328,65.23900155,67.63055765,2019Q2
Japan,p1,Monthly,Digital,N,Medium,N,Y,4,4.0,17.8,85.75417403,78.19,2020Q2
USA,p2,Monthly,Digital,N,Low,N,Y,3,4.0,45.11,77.99743962,74.88,2019Q4
Japan,p2,Monthly,Offline,Y,Medium,N,N,5,5.0,51.15,90.23298941,86.06,2020Q2
India,p1,Monthly,Digital,Y,Medium,Y,N,5,3.999370445,8.14546774,76.28195824,65.05835552,2018Q4
USA,p2,Annual,Offline,N,Low,Y,Y,5,6.0,34.511,92.68919313,88.93,2020Q3
India,p2,Annual,Digital,N,Low,Y,N,5,5.0,15.111,73.19367394,73.0315,2020Q3
USA,p1,Monthly,Offline,Y,Low,N,N,0,3.00801301,71.91926482,68.88218591,62.64901948,2018Q4
USA,p2,Monthly,Digital,N,High,Y,N,2,3.0,47.1307,73.69636344,75.6207,2020Q2
Japan,p1,Annual,Offline,Y,Low,N,N,4,7.0,23.27,87.91161365,85.47,2019Q4
Japan,p2,Annual,Offline,N,High,N,N,2,5.006577769,41.36948795,83.89996401,80.68485703,2019Q3
Japan,p1,Annual,Offline,Y,Low,N,Y,5,6.0,23.09,90.28824929,87.4,2020Q3
Japan,p1,Bi-annual,Digital,N,Medium,N,Y,3,7.0,12.29,88.30759842,88.7,2020Q3
USA,p1,Monthly,Digital,Y,Low,Y,N,2,4.0,63.6006,69.25963577,70.1072,2019Q4
Japan,p1,Bi-annual,Offline,Y,Low,N,Y,5,6.0,22.95,85.60327866,86.54,2019Q4
India,p1,Monthly,Digital,N,Medium,N,N,4,3.0,7.34,68.82795891,61.39,2020Q3
USA,p2,Annual,Digital,N,Low,Y,Y,4,4.002315902,36.44816215,72.16018759,75.37270809,2019Q2
India,p1,Monthly,Digital,Y,High,N,N,1,4.010629744,10.99699146,64.93423581,62.83761003,2019Q2
USA,p2,Annual,Offline,N,Low,N,N,5,3.999702272,94.74873253,76.22609073,84.0363995,2019Q3
India,p1,Annual,Digital,Y,Medium,Y,Y,4,5.0,13.2257,62.78387137,60.87,2019Q4
India,p2,Monthly,Offline,N,Medium,Y,Y,4,2.995546661,40.60236788,77.51098323,70.91758909,2019Q1
India,p2,Monthly,Offline,N,Medium,Y,N,3,6.0,19.3506,70.47060138,69.7566,2020Q3
